# basis=1,sqrt3,sqrt5,sqrt15,sqrt11,sqrt33,sqrt55,sqrt165 scale=96
0 0 6 0 0 14 0 0 0 -14 0 0 0 0 6 0
21 0 -3 0 0 7 0 3 0 7 0 3 -21 0 3 0
-21 0 3 0 0 7 0 3 0 -7 0 -3 -21 0 3 0
21 0 3 0 0 -7 0 3 0 -7 0 3 -21 0 -3 0
-21 0 -3 0 0 -7 0 3 0 7 0 -3 -21 0 -3 0
0 0 6 0 0 -14 0 0 0 -14 0 0 0 0 -6 0
0 0 -6 0 0 -14 0 0 0 14 0 0 0 0 -6 0
-21 0 3 0 0 -7 0 -3 0 -7 0 -3 21 0 -3 0
21 0 -3 0 0 -7 0 -3 0 7 0 3 21 0 -3 0
0 0 -24 0 0 0 0 0 0 56 0 0 0 0 0 0
84 0 12 0 0 0 0 0 0 -28 0 12 0 0 0 0
-84 0 12 0 0 0 0 0 0 -28 0 -12 0 0 0 0
42 0 12 0 0 0 0 -6 0 -28 0 6 42 0 0 0
-21 0 15 0 0 21 0 -3 0 -35 0 -3 21 0 9 0
-21 0 -15 0 0 21 0 3 0 35 0 -3 -21 0 9 0
42 0 -12 0 0 0 0 6 0 28 0 6 -42 0 0 0
21 0 -15 0 0 -21 0 3 0 35 0 3 -21 0 -9 0
63 0 -9 0 0 -7 0 -3 0 21 0 9 21 0 -3 0
0 0 -18 0 0 14 0 0 0 42 0 0 0 0 6 0
63 0 9 0 0 7 0 -3 0 -21 0 9 21 0 3 0
63 0 -9 0 0 7 0 3 0 21 0 9 -21 0 3 0
0 0 18 0 0 14 0 0 0 -42 0 0 0 0 6 0
63 0 9 0 0 -7 0 3 0 -21 0 9 -21 0 -3 0
-63 0 9 0 0 7 0 3 0 -21 0 -9 -21 0 3 0
0 0 18 0 0 -14 0 0 0 -42 0 0 0 0 -6 0
-63 0 -9 0 0 -7 0 3 0 21 0 -9 -21 0 -3 0
-63 0 9 0 0 -7 0 -3 0 -21 0 -9 21 0 -3 0
0 0 -18 0 0 -14 0 0 0 42 0 0 0 0 -6 0
-63 0 -9 0 0 7 0 -3 0 21 0 -9 21 0 3 0
0 0 6 0 0 0 0 -6 0 -14 0 0 42 0 0 0
-21 0 3 0 0 21 0 -3 0 -7 0 -3 21 0 9 0
-21 0 -3 0 0 21 0 3 0 7 0 -3 -21 0 9 0
0 0 -6 0 0 0 0 6 0 14 0 0 -42 0 0 0
21 0 -3 0 0 -21 0 3 0 7 0 3 -21 0 -9 0
21 0 3 0 0 -21 0 -3 0 -7 0 3 21 0 -9 0
-42 0 6 0 0 14 0 -6 0 -14 0 -6 42 0 6 0
0 0 12 0 0 14 0 -6 0 -28 0 0 42 0 6 0
-42 0 -6 0 0 28 0 0 0 14 0 -6 0 0 12 0
-42 0 6 0 0 28 0 0 0 -14 0 -6 0 0 12 0
0 0 -12 0 0 14 0 6 0 28 0 0 -42 0 6 0
-42 0 -6 0 0 14 0 6 0 14 0 -6 -42 0 6 0
42 0 -6 0 0 -14 0 6 0 14 0 6 -42 0 -6 0
0 0 -12 0 0 -14 0 6 0 28 0 0 -42 0 -6 0
42 0 6 0 0 -28 0 0 0 -14 0 6 0 0 -12 0
42 0 -6 0 0 -28 0 0 0 14 0 6 0 0 -12 0
0 0 12 0 0 -14 0 -6 0 -28 0 0 42 0 -6 0
42 0 6 0 0 -14 0 -6 0 -14 0 6 42 0 -6 0
21 0 -9 0 0 7 0 -3 0 21 0 3 21 0 3 0
42 0 0 0 0 14 0 0 0 0 0 6 0 0 6 0
21 0 9 0 0 7 0 3 0 -21 0 3 -21 0 3 0
-21 0 9 0 0 -7 0 3 0 -21 0 -3 -21 0 -3 0
-42 0 0 0 0 -14 0 0 0 0 0 -6 0 0 -6 0
-21 0 -9 0 0 -7 0 -3 0 21 0 -3 21 0 -3 0
63 0 -3 0 0 7 0 -3 0 7 0 9 21 0 3 0
42 0 12 0 0 14 0 0 0 -28 0 6 0 0 6 0
-63 0 3 0 0 -7 0 3 0 -7 0 -9 -21 0 -3 0
-42 0 12 0 0 -14 0 0 0 -28 0 -6 0 0 -6 0
-42 0 -12 0 0 -14 0 0 0 28 0 -6 0 0 -6 0
21 0 -15 0 0 -7 0 -3 0 35 0 3 21 0 -3 0
42 0 0 0 0 0 0 -6 0 0 0 6 42 0 0 0
-21 0 -9 0 0 21 0 -3 0 21 0 -3 21 0 9 0
21 0 9 0 0 21 0 -3 0 -21 0 3 21 0 9 0
21 0 -9 0 0 21 0 3 0 21 0 3 -21 0 9 0
-21 0 9 0 0 21 0 3 0 -21 0 -3 -21 0 9 0
42 0 0 0 0 0 0 6 0 0 0 6 -42 0 0 0
-42 0 0 0 0 0 0 6 0 0 0 -6 -42 0 0 0
21 0 9 0 0 -21 0 3 0 -21 0 3 -21 0 -9 0
-21 0 -9 0 0 -21 0 3 0 21 0 -3 -21 0 -9 0
-21 0 9 0 0 -21 0 -3 0 -21 0 -3 21 0 -9 0
21 0 -9 0 0 -21 0 -3 0 21 0 3 21 0 -9 0
-42 0 0 0 0 0 0 -6 0 0 0 -6 42 0 0 0
0 0 0 0 0 14 0 -6 0 0 0 0 42 0 6 0
0 0 0 0 0 14 0 6 0 0 0 0 -42 0 6 0
0 0 0 0 0 -14 0 6 0 0 0 0 -42 0 -6 0
0 0 0 0 0 -14 0 -6 0 0 0 0 42 0 -6 0
0 0 -6 0 0 0 0 -6 0 14 0 0 42 0 0 0
21 0 -3 0 0 21 0 -3 0 7 0 3 21 0 9 0
21 0 3 0 0 21 0 3 0 -7 0 3 -21 0 9 0
0 0 6 0 0 0 0 6 0 -14 0 0 -42 0 0 0
-21 0 3 0 0 -21 0 3 0 -7 0 -3 -21 0 -9 0
-21 0 -3 0 0 -21 0 -3 0 7 0 -3 21 0 -9 0
-42 0 -6 0 0 14 0 -6 0 14 0 -6 42 0 6 0
42 0 6 0 0 14 0 -6 0 -14 0 6 42 0 6 0
0 0 -12 0 0 28 0 0 0 28 0 0 0 0 12 0
0 0 12 0 0 28 0 0 0 -28 0 0 0 0 12 0
42 0 -6 0 0 14 0 6 0 14 0 6 -42 0 6 0
-42 0 6 0 0 14 0 6 0 -14 0 -6 -42 0 6 0
42 0 6 0 0 -14 0 6 0 -14 0 6 -42 0 -6 0
-42 0 -6 0 0 -14 0 6 0 14 0 -6 -42 0 -6 0
0 0 12 0 0 -28 0 0 0 -28 0 0 0 0 -12 0
0 0 -12 0 0 -28 0 0 0 28 0 0 0 0 -12 0
-42 0 6 0 0 -14 0 -6 0 -14 0 -6 42 0 -6 0
42 0 -6 0 0 -14 0 -6 0 14 0 6 42 0 -6 0
42 0 -12 0 0 0 0 -6 0 28 0 6 42 0 0 0
21 0 15 0 0 21 0 3 0 -35 0 3 -21 0 9 0
-21 0 15 0 0 -21 0 3 0 -35 0 -3 -21 0 -9 0
-21 0 -15 0 0 -21 0 -3 0 35 0 -3 21 0 -9 0
0 0 -12 0 0 14 0 -6 0 28 0 0 42 0 6 0
42 0 -6 0 0 14 0 -6 0 14 0 6 42 0 6 0
42 0 -6 0 0 28 0 0 0 14 0 6 0 0 12 0
42 0 6 0 0 28 0 0 0 -14 0 6 0 0 12 0
42 0 6 0 0 14 0 6 0 -14 0 6 -42 0 6 0
0 0 12 0 0 14 0 6 0 -28 0 0 -42 0 6 0
0 0 12 0 0 -14 0 6 0 -28 0 0 -42 0 -6 0
-42 0 6 0 0 -14 0 6 0 -14 0 -6 -42 0 -6 0
-42 0 6 0 0 -28 0 0 0 -14 0 -6 0 0 -12 0
-42 0 -6 0 0 -28 0 0 0 14 0 -6 0 0 -12 0
-42 0 -6 0 0 -14 0 -6 0 14 0 -6 42 0 -6 0
0 0 -12 0 0 -14 0 -6 0 28 0 0 42 0 -6 0
